sentence,sentiment,date
Essentially you can forget Microsoft's tech support.,negative,2025-05-11 14:33:42.034613
"I really recommend this faceplates since it looks very nice, elegant and cool.",positive,2025-02-10 14:33:42.034613
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,positive,2025-02-03 14:33:42.034613
Buy a different phone - but not this.,negative,2025-04-11 14:33:42.034613
You have to hold the phone at a particular angle for the other party to hear you clearly.,negative,2025-01-04 14:33:42.034613
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,negative,2025-04-26 14:33:42.034613
"A week later after I activated it, it suddenly died.",negative,2025-05-26 14:33:42.034613
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,positive,2025-03-17 14:33:42.034613
Great for iPODs too.,positive,2024-12-19 14:33:42.034613
This device is great in several situations:1.),positive,2025-04-25 14:33:42.034613
Mic Doesn't work.,negative,2025-02-24 14:33:42.034613
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",negative,2025-04-24 14:33:42.034613
Great choice!,positive,2025-02-18 14:33:42.034613
Nice docking station for home or work.,positive,2024-12-28 14:33:42.034613
This is a beautiful phone.,positive,2025-02-13 14:33:42.034613
Love this product.,positive,2024-12-25 14:33:42.034613
Do Not Buy for D807...wrongly advertised for D807.,negative,2025-02-18 14:33:42.034613
This is a great little item.,positive,2024-12-04 14:33:42.034613
"I love this phone , It is very handy and has a lot of features .",positive,2025-01-06 14:33:42.034613
I purchased this and within 2 days it was no longer working!!!!!!!!!,negative,2024-12-13 14:33:42.034613
I wear it everyday and it holds up very well.,positive,2025-05-24 14:33:42.034613
Not a good bargain.,negative,2025-05-25 14:33:42.034613
"Well packaged, arrived on time, and works as intended.",positive,2025-03-28 14:33:42.034613
The battery runs down quickly.,negative,2025-04-08 14:33:42.034613
"This item worked great, but it broke after 6 months of use.",negative,2025-01-06 14:33:42.034613
The headsets are easy to use and everyone loves them.,positive,2024-12-05 14:33:42.034613
This phone works great.,positive,2025-03-14 14:33:42.034613
The construction of the headsets is poor.,negative,2025-02-20 14:33:42.034613
Product was excellent and works better than the verizon one and Boy was it cheaper!,positive,2025-03-30 14:33:42.034613
The phone loads super!,positive,2024-12-05 14:33:42.034613
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",negative,2024-12-19 14:33:42.034613
Made very sturdy.,positive,2025-03-10 14:33:42.034613
Worked great!.,positive,2025-03-03 14:33:42.034613
The ear buds only play music in one ear.,negative,2025-03-17 14:33:42.034613
Dont waste your money...,negative,2024-12-10 14:33:42.034613
Will order from them again!,positive,2025-02-23 14:33:42.034613
If you plan to use this in a car forget about it.,negative,2025-01-20 14:33:42.034613
I found this product to be waaay too big.,negative,2025-05-04 14:33:42.034613
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,positive,2025-05-09 14:33:42.034613
I'm very disappointed with my decision.,negative,2025-04-21 14:33:42.034613
Integrated seamlessly with the Motorola RAZR phone.,positive,2025-04-05 14:33:42.034613
"Buyer Beware, you could flush money right down the toilet.",negative,2025-01-17 14:33:42.034613
Definitely a bargain.,positive,2025-01-25 14:33:42.034613
The price was very good and with the free shipping and all it was a good purchase.,positive,2025-02-16 14:33:42.034613
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,negative,2025-03-04 14:33:42.034613
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",positive,2025-04-12 14:33:42.034613
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",negative,2024-12-23 14:33:42.034613
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",positive,2025-04-03 14:33:42.034613
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",negative,2025-04-15 14:33:42.034613
I purcashed this for the car charger and it does not work.,negative,2025-03-30 14:33:42.034613
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",positive,2025-04-30 14:33:42.034613
This phone is slim and light and the display is beautiful.,positive,2025-02-02 14:33:42.034613
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,positive,2025-01-15 14:33:42.034613
"Great product, fast shipping!.",positive,2025-03-07 14:33:42.034613
Absolutely great.,positive,2025-01-07 14:33:42.034613
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,positive,2025-02-09 14:33:42.034613
i got this phone around the end of may and i'm completely unhappy with it.,negative,2025-03-05 14:33:42.034613
It is very comfortable on the ear.,positive,2024-12-09 14:33:42.034613
It has been a winner for us.,positive,2025-01-12 14:33:42.034613
)Setup couldn't have been simpler.,positive,2025-04-25 14:33:42.034613
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,positive,2024-12-17 14:33:42.034613
Could not get strong enough signal.,negative,2025-01-07 14:33:42.034613
Iam very pleased with my purchase.,positive,2025-01-15 14:33:42.034613
Bad Quality.,negative,2025-04-20 14:33:42.034613
Gets the job done.,positive,2024-12-12 14:33:42.034613
Great audio!.,positive,2025-01-23 14:33:42.034613
Basically the service was very bad.,negative,2025-05-02 14:33:42.034613
it did not work in my cell phone plug i am very up set with the charger!.,negative,2025-02-07 14:33:42.034613
"I've only had my bluetooth for a few weeks, but I really like it.",positive,2025-03-17 14:33:42.034613
The BT headset was such a disapoinment.,negative,2025-05-09 14:33:42.034613
It is so small and you don't even realize that it is there after a while of getting used to it.,positive,2025-03-21 14:33:42.034613
The accompanied software is almost brilliant.,positive,2024-12-19 14:33:42.034613
Headset works great & was packaged nicely to avoid any damage.,positive,2025-01-14 14:33:42.034613
!I definitly recommend!!,positive,2025-02-14 14:33:42.034613
Buyer--Be Very Careful!!!!!.,negative,2024-12-08 14:33:42.034613
The majority of the Logitech earbud headsets failed.,negative,2025-03-21 14:33:42.034613
Very good stuff for the price.,positive,2025-01-10 14:33:42.034613
My headset works just peachy-keen.,positive,2025-03-07 14:33:42.034613
In my house I was getting dropped coverage upstairs and no coverage in my basement.,negative,2025-01-02 14:33:42.034613
Voice recognition is tremendous!,positive,2025-04-15 14:33:42.034613
What a waste.,negative,2025-03-24 14:33:42.034613
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",negative,2025-02-13 14:33:42.034613
I was not happy with this item.,negative,2025-01-12 14:33:42.034613
very disappointed.,negative,2025-01-24 14:33:42.034613
The phone takes FOREVER to charge like 2 to 5 hours literally.,negative,2024-11-28 14:33:42.034613
I got this phone on reccomendation from a relative and I'm glad I did.,positive,2025-04-09 14:33:42.034613
What a waste of time!,negative,2025-05-23 14:33:42.034613
Its reception is very very poor.,negative,2025-02-23 14:33:42.034613
Items stated as included from the description ARE NOT INCLUDED.,negative,2025-01-07 14:33:42.034613
"After 3 months, screen just went black all of a sudden.",negative,2025-02-17 14:33:42.034613
I Was Hoping for More.,negative,2025-04-09 14:33:42.034613
"Audio Quality is poor, very poor.",negative,2025-03-08 14:33:42.034613
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,positive,2025-03-16 14:33:42.034613
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",positive,2025-05-10 14:33:42.034613
I've bought $5 wired headphones that sound better than these.,negative,2025-05-17 14:33:42.034613
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,positive,2024-11-28 14:33:42.034613
"Nice quality build, unlike some cheap s*** out there.",positive,2025-05-02 14:33:42.034613
This item is fantastic and works perfectly!,positive,2025-04-19 14:33:42.034613
And I just love the colors!,positive,2025-04-08 14:33:42.034613
W810i is just SUPERB.,positive,2025-02-20 14:33:42.034613
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",negative,2025-03-30 14:33:42.034613
Great charger.,positive,2025-03-04 14:33:42.034613
This is essentially a communications tool that does not communicate.,negative,2024-12-16 14:33:42.034613
Works like a charm; it work the same as the one I got with the phone.,positive,2025-03-15 14:33:42.034613
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",negative,2024-12-29 14:33:42.034613
Great Value.,positive,2025-05-25 14:33:42.034613
Doesn't work at all.. I bougth it for my L7c and its not working.,negative,2025-02-26 14:33:42.034613
"The look of it is very sharp and the screen is nice and clear, with great graphics.",positive,2025-05-04 14:33:42.034613
doesn't last long.,negative,2025-05-27 14:33:42.034613
One thing I hate is the mode set button at the side.,negative,2025-02-09 14:33:42.034613
EXCELLENT SERVICE!!!!!!!!.,positive,2024-12-14 14:33:42.034613
Thank you for wasting my money.,negative,2025-05-04 14:33:42.034613
How can that be?The audio quality is poor.,negative,2025-05-07 14:33:42.034613
The iGo chargers and tips are really great.,positive,2025-03-01 14:33:42.034613
The file browser offers all the options that one needs.Handsfree is great.,positive,2025-01-15 14:33:42.034613
Superb Phone on a Great Network.,positive,2025-03-06 14:33:42.034613
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",positive,2025-01-07 14:33:42.034613
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",negative,2025-02-05 14:33:42.034613
It only recognizes the Phone as its storage device.,negative,2025-02-24 14:33:42.034613
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative,2025-01-07 14:33:42.034613
Don't buy this product.,negative,2025-01-12 14:33:42.034613
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,negative,2025-05-20 14:33:42.034613
The sound quality is good and functionality is awesome.,positive,2025-05-22 14:33:42.034613
"I have this phone and it is a thorn in my side, I really abhor it.",negative,2025-02-05 14:33:42.034613
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,negative,2025-04-17 14:33:42.034613
Incredible!.,positive,2025-05-25 14:33:42.034613
Design Flaw?.,negative,2025-03-03 14:33:42.034613
Great phone!.,positive,2025-04-16 14:33:42.034613
Waste of 13 bucks.,negative,2025-05-09 14:33:42.034613
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",negative,2025-01-26 14:33:42.034613
The replacement died in a few weeks.,negative,2025-05-18 14:33:42.034613
Any ring tone..Overall good phone to buy..,positive,2025-04-16 14:33:42.034613
Lately they have been extremely nice and helpful on the phone.,positive,2025-02-19 14:33:42.034613
I have had problems wit hit dropping signal and more.,negative,2025-03-26 14:33:42.034613
Not impressed.,negative,2024-12-03 14:33:42.034613
"Light weight, I hardly notice it is there.",positive,2025-05-11 14:33:42.034613
You'll love how thin it is.,positive,2025-03-28 14:33:42.034613
Bad Choice.,negative,2025-05-16 14:33:42.034613
The pleather case doesn't fit.,negative,2025-01-20 14:33:42.034613
"useless phone, simply deaf.",negative,2025-05-20 14:33:42.034613
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",positive,2024-12-06 14:33:42.034613
All in all I think it was a good investment.,positive,2025-01-14 14:33:42.034613
It makes very strange ticking noises before it ends the call.,negative,2025-02-20 14:33:42.034613
The best electronics of the available FM Transmitters.,positive,2025-03-06 14:33:42.034613
Battery lasts only a few hours.,negative,2025-04-26 14:33:42.034613
"great headset, very impressed - H500.",positive,2025-01-11 14:33:42.034613
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",positive,2025-05-25 14:33:42.034613
I've had this for nearly 2 years and it has worked great for me.,positive,2025-05-18 14:33:42.034613
Good transmit audio.,positive,2025-03-05 14:33:42.034613
We are sending it back.,negative,2025-05-17 14:33:42.034613
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,negative,2025-04-20 14:33:42.034613
"If you hate earbugs, avoid this phone by all means.",negative,2025-05-22 14:33:42.034613
Great price also!,positive,2024-12-29 14:33:42.034613
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",positive,2025-01-15 14:33:42.034613
fast service.,positive,2025-01-25 14:33:42.034613
I would highly recommend this.,positive,2025-02-01 14:33:42.034613
I would recommend this.,positive,2025-02-03 14:33:42.034613
"I also didn't like the ""on"" button, it felt like it would crack with use.",negative,2024-12-10 14:33:42.034613
WORST PHONE EVER.,negative,2025-02-26 14:33:42.034613
I'm still infatuated with this phone.,positive,2025-01-01 14:33:42.034613
Freezes frequently4.,negative,2025-01-01 14:33:42.034613
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,negative,2025-04-04 14:33:42.034613
"Simple, lightweight and great fit.",positive,2025-01-05 14:33:42.034613
"All in all, I'd expected a better consumer experience from Motorola.",negative,2025-03-18 14:33:42.034613
There's a horrible tick sound in the background on all my calls that I have never experienced before.,negative,2024-12-29 14:33:42.034613
These are certainly very comfortable and functionality is decent.,positive,2025-02-14 14:33:42.034613
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,positive,2025-01-15 14:33:42.034613
I'm a bit disappointed.,negative,2025-02-08 14:33:42.034613
"I have had this phone for over a year now, and I will tell you, its not that great.",negative,2025-05-27 14:33:42.034613
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,negative,2025-01-09 14:33:42.034613
The battery is completely useless to me.,negative,2024-11-28 14:33:42.034613
What a big waste of time.,negative,2025-05-09 14:33:42.034613
Don't waste your $$$ on this one.,negative,2025-01-26 14:33:42.034613
Great sound and service.,positive,2025-03-23 14:33:42.034613
Really pleased with this product so far.,positive,2025-04-01 14:33:42.034613
One of my favorite purchases ever.,positive,2025-03-27 14:33:42.034613
best bluetooth on the market.,positive,2025-01-12 14:33:42.034613
Authentic leather with nice shine and comfort .I recommend you this case !!,positive,2025-04-16 14:33:42.034613
I was very excited to get this headset because I thought it was really cute.,positive,2025-02-17 14:33:42.034613
Do not make the same mistake as me.,negative,2024-12-10 14:33:42.034613
Big Disappointment with calendar sync.,negative,2025-03-26 14:33:42.034613
the phone was unusable and was not new.,negative,2025-04-28 14:33:42.034613
Worst Customer Service Ever.,negative,2025-05-25 14:33:42.034613
"No additional ear gels provided, and no instructions whatsoever.",negative,2025-02-20 14:33:42.034613
It defeats the purpose of a bluetooth headset.,negative,2025-03-26 14:33:42.034613
Worth every penny.,positive,2025-05-24 14:33:42.034613
Excellent wallet type phone case.,positive,2024-12-31 14:33:42.034613
Nice headphones for the price and they work great!,positive,2025-03-24 14:33:42.034613
Internet is excrutiatingly slow.,negative,2025-01-31 14:33:42.034613
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",positive,2025-03-01 14:33:42.034613
"It's fits like a glove and is strong, secure, and durable.",positive,2025-01-23 14:33:42.034613
O my gosh the best phone I have ever had.,positive,2025-03-19 14:33:42.034613
It's very attractive and appears to be of good quality.,positive,2025-01-05 14:33:42.034613
I love all the features and form factor.,positive,2025-05-08 14:33:42.034613
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,negative,2024-12-09 14:33:42.034613
poor quality and service.,negative,2025-02-09 14:33:42.034613
"The cable looks so thin and flimsy, it is scary.",negative,2025-05-27 14:33:42.034613
Great Earpiece.,positive,2025-03-05 14:33:42.034613
Excellent hands free tool.,positive,2025-02-25 14:33:42.034613
Great for using with your home stereo.,positive,2025-01-23 14:33:42.034613
Good product - incredible value.,positive,2025-03-31 14:33:42.034613
Only had this a month but it's worked flawlessly so far.,positive,2025-04-27 14:33:42.034613
Works great.,positive,2025-01-18 14:33:42.034613
Absolutel junk.,negative,2025-04-08 14:33:42.034613
THAT one didn't work either.,negative,2024-12-12 14:33:42.034613
Battery life is real good.,positive,2025-04-01 14:33:42.034613
Returned 8 hours later.,negative,2025-03-06 14:33:42.034613
It's a great item.,positive,2025-01-29 14:33:42.034613
Don't waste your money!.,negative,2025-04-06 14:33:42.034613
Love this headset!,positive,2024-11-30 14:33:42.034613
"Not only will it drain your player, but may also potentially fry it.",negative,2025-04-20 14:33:42.034613
Worked perfectly!,positive,2024-12-20 14:33:42.034613
Unreliable - I'm giving up.,negative,2024-12-10 14:33:42.034613
I gave it 5 stars because of the sound quality.,positive,2025-05-11 14:33:42.034613
Avoid this one if you can.,negative,2025-04-17 14:33:42.034613
Reversible plug works great.,positive,2024-12-02 14:33:42.034613
I wasted my little money with this earpiece.,negative,2025-05-17 14:33:42.034613
Very good phone.,positive,2025-03-02 14:33:42.034613
"Best of all is the rotating feature, very helpful.",positive,2025-02-20 14:33:42.034613
Comfort for our whole family.,positive,2025-02-11 14:33:42.034613
"Good product, good seller.",positive,2025-01-27 14:33:42.034613
I love this bluetooth!,positive,2025-02-05 14:33:42.034613
"First of all, it doesn't wear well.",negative,2025-03-18 14:33:42.034613
I am very impressed with this headset from Plantronics.,positive,2025-04-14 14:33:42.034613
I got it because it was so small and adorable.,positive,2025-02-22 14:33:42.034613
Great phone!.,positive,2025-04-02 14:33:42.034613
I wouldn't recommend buying this product.,negative,2025-04-16 14:33:42.034613
Piece of Junk.,negative,2024-12-07 14:33:42.034613
Poorly contstruct hinge.,negative,2025-01-30 14:33:42.034613
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",positive,2024-11-28 14:33:42.034613
Great Phone.,positive,2025-03-22 14:33:42.034613
Don't buy it.,negative,2025-02-03 14:33:42.034613
Excellent Phone.,positive,2024-12-27 14:33:42.034613
DO NOT PURCHASE THIS PHONE.,negative,2025-01-10 14:33:42.034613
The voice recognition thru the handset is excellent.,positive,2025-05-27 14:33:42.034613
This is hands down the best phone I've ever had.,positive,2025-04-06 14:33:42.034613
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",positive,2024-12-15 14:33:42.034613
This one works and was priced right.,positive,2025-04-17 14:33:42.034613
Customer service was terrible.,negative,2025-02-24 14:33:42.034613
Battery life still not long enough in Motorola Razor V3i.,negative,2024-12-16 14:33:42.034613
Sending it back.,negative,2024-11-29 14:33:42.034613
Now I know that I made a wise decision.,positive,2025-04-22 14:33:42.034613
Someone shouldve invented this sooner.,positive,2025-01-03 14:33:42.034613
Good price.,positive,2025-03-16 14:33:42.034613
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,positive,2025-03-16 14:33:42.034613
I received it quickly and it works great!!,positive,2025-01-21 14:33:42.034613
Has been working great.,positive,2025-03-05 14:33:42.034613
"As many people complained, I found this headset's microphone was very weak.",negative,2025-01-21 14:33:42.034613
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,negative,2025-03-05 14:33:42.034613
They do not care about the consumer one bit.,negative,2025-04-04 14:33:42.034613
"This is a good battery, and it got here really fast.",positive,2025-02-01 14:33:42.034613
The instruction manual is lacking.,negative,2025-04-01 14:33:42.034613
Also its slim enough to fit into my alarm clock docking station without removing the case.,positive,2025-03-12 14:33:42.034613
Phone now holds charge like it did when it was new.,positive,2025-02-24 14:33:42.034613
The battery is unreliable as well as the service use antena.,negative,2025-02-09 14:33:42.034613
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,negative,2025-04-02 14:33:42.034613
We have gotten a lot of compliments on it.,positive,2025-01-26 14:33:42.034613
This is definitely a must have if your state does not allow cell phone usage while driving.,positive,2025-02-23 14:33:42.034613
I want my money back.,negative,2024-12-01 14:33:42.034613
I love this device.,positive,2024-12-05 14:33:42.034613
I am also very happy with the price.,positive,2024-12-15 14:33:42.034613
I ordered this product first and was unhappy with it immediately.,negative,2025-01-28 14:33:42.034613
The Ngage is still lacking in earbuds.,negative,2025-02-27 14:33:42.034613
I was able to do voice dialing in the car with no problem.,positive,2025-04-30 14:33:42.034613
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",negative,2025-02-17 14:33:42.034613
"good item, low price.",positive,2025-03-13 14:33:42.034613
"However-the riingtones are not the best, and neither are the games.",negative,2024-12-05 14:33:42.034613
The plug did not work very well.,negative,2025-01-13 14:33:42.034613
AMAZON SUCKS.,negative,2025-01-18 14:33:42.034613
Rip off---- Over charge shipping.,negative,2025-01-31 14:33:42.034613
VERY comfortable.,positive,2025-01-26 14:33:42.034613
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,positive,2025-03-02 14:33:42.034613
The reception is excellent!,positive,2025-05-07 14:33:42.034613
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",positive,2025-04-09 14:33:42.034613
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",positive,2025-05-26 14:33:42.034613
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,negative,2025-02-25 14:33:42.034613
Obviously there is a problem with the adhesive.,negative,2025-03-04 14:33:42.034613
Very disappointing.,negative,2025-03-16 14:33:42.034613
"It was an inexpensive piece, but I would still have expected better quality.",negative,2025-02-16 14:33:42.034613
It is practically useless and did not add any kind of boost to my reception after I bought it.,negative,2024-12-09 14:33:42.034613
Excellent sound quality.,positive,2025-03-01 14:33:42.034613
Was not happy.,negative,2025-05-08 14:33:42.034613
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,negative,2024-12-04 14:33:42.034613
New Battery works great in phone.,positive,2025-02-09 14:33:42.034613
Worst customer service.,negative,2025-04-13 14:33:42.034613
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",positive,2025-01-29 14:33:42.034613
Reception is terrible and full of static.,negative,2025-02-02 14:33:42.034613
Good audio quality.,positive,2025-01-26 14:33:42.034613
This little device has transformed my organizational capability and made my life a whole lot easier.,positive,2024-12-24 14:33:42.034613
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",negative,2025-04-05 14:33:42.034613
Were JERKS on the phone.,negative,2025-01-12 14:33:42.034613
Works like a charm.. Works as advertised.,positive,2025-02-06 14:33:42.034613
"Comfortable, Nice Range, Good Battery Life.",positive,2025-02-05 14:33:42.034613
Their network coverage in Los Angeles is horrible.,negative,2025-01-24 14:33:42.034613
Excellent starter wireless headset.,negative,2025-04-05 14:33:42.034613
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",negative,2024-12-16 14:33:42.034613
The only thing that I think could improve is the sound leaks out from the headset.,negative,2025-03-18 14:33:42.034613
"First off the reception sucks, I have never had more than 2 bars, ever.",negative,2025-02-05 14:33:42.034613
The phone gets EXTREMELY HOT!,negative,2025-05-10 14:33:42.034613
"The microphone also works well, but (according to people I have called) it applifies everything.",positive,2024-12-23 14:33:42.034613
Nice design and quality.,positive,2025-05-21 14:33:42.034613
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",negative,2025-05-13 14:33:42.034613
"It is light, easy to use, and has very clear reception and transmission.",positive,2025-01-21 14:33:42.034613
"bad fit, way too big.",negative,2025-04-08 14:33:42.034613
It definitely was not as good as my S11.,positive,2024-12-20 14:33:42.034613
awesome device.,positive,2025-05-23 14:33:42.034613
Waste of money.,negative,2025-04-05 14:33:42.034613
"I had ordered a motorola data cable, got a very well finished and working product.",positive,2025-03-15 14:33:42.034613
Love This Phone.,positive,2025-02-24 14:33:42.034613
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,positive,2025-01-24 14:33:42.034613
"I'll be drivng along, and my headset starts ringing for no reason.",negative,2025-01-21 14:33:42.034613
